testDate10Year,testY10Year,forecastY10Year
01-Jan-2001,-0.0631036974165081,-0.042002385341747
01-Feb-2001,-0.0598472139221093,-0.00842946177799893
01-Mar-2001,-0.17775497327019,-0.0148331195486321
01-Apr-2001,-0.185799529205671,-0.00401270467726584
01-May-2001,-0.104414584625797,0.0599377483815273
01-Jun-2001,-0.152705956387316,0.0490529473726069
01-Jul-2001,-0.182315003394433,0.0390723655423572
01-Aug-2001,-0.206643060062203,0.0257794845893954
01-Sep-2001,-0.288416607063792,0.0279013390891363
01-Oct-2001,-0.225552822017926,0.0708665633455412
01-Nov-2001,-0.180226989056921,0.102032245839382
01-Dec-2001,-0.139751902804806,0.149028335323097
01-Jan-2002,-0.146312975899014,0.182086150210165
01-Feb-2002,-0.157059161401493,0.190056319768808
01-Mar-2002,-0.0270354597967702,0.189043400428595
01-Apr-2002,-0.0654793921871847,0.179980690232342
01-May-2002,-0.150444358730134,0.173015036370114
01-Jun-2002,-0.181390317346272,0.169327100275323
01-Jul-2002,-0.249790360745569,0.173526709145616
01-Aug-2002,-0.225668222316504,0.180554830456843
01-Sep-2002,-0.169273625363762,0.190229754447809
01-Oct-2002,-0.206169479560464,0.194286184339898
01-Nov-2002,-0.194524113023157,0.187936700882945
01-Dec-2002,-0.214641943175565,0.176918000329213
01-Jan-2003,-0.214320169091659,0.158297840570645
01-Feb-2003,-0.239526833655864,0.14219950584733
01-Mar-2003,-0.266218289290079,0.132274612650547
01-Apr-2003,-0.199562922126393,0.127875563983494
01-May-2003,-0.132768126013435,0.130673333563626
01-Jun-2003,-0.0256602433877044,0.133870104585695
01-Jul-2003,0.0984406644606513,0.135429843701876
01-Aug-2003,0.0843570215330667,0.133646953506131
01-Sep-2003,0.17472718682661,0.127954301116519
01-Oct-2003,0.215414857891719,0.12133524953007
01-Nov-2003,0.153825019506995,0.116182371396909
01-Dec-2003,0.201806089993105,0.114633864672272
01-Jan-2004,0.264198964100732,0.117210463043413
01-Feb-2004,0.365972545786889,0.123117748082905
01-Mar-2004,0.327592927252755,0.129748947450562
01-Apr-2004,0.273395278810827,0.135162295745269
01-May-2004,0.178234112568913,0.13796924239199
01-Jun-2004,0.146518218623482,0.137810029267484
