Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10,Dividend Yield
1961/04/01,65.83,1.94,3.07,29.8,3.78,551.9,16.26,25.74,20.38,2.95
1961/05/01,66.5,1.94,3.05,29.8,3.71,557.52,16.26,25.57,20.6,2.92
1961/06/01,65.62,1.94,3.03,29.8,3.88,550.14,16.26,25.4,20.33,2.96
1961/07/01,65.44,1.95,3.04,30,3.92,544.97,16.21,25.29,20.15,2.97
1961/08/01,67.79,1.95,3.04,29.9,4.04,566.43,16.32,25.43,20.94,2.88
1961/09/01,67.26,1.96,3.05,30,3.98,560.13,16.32,25.4,20.71,2.91
1961/10/01,68,1.98,3.1,30,3.92,566.29,16.49,25.79,20.92,2.91
1961/11/01,71.08,2,3.14,30,3.94,591.94,16.66,26.18,21.86,2.81
1961/12/01,71.74,2.02,3.19,30,4.06,597.44,16.82,26.57,22.04,2.82
1962/01/01,69.07,2.03,3.25,30,4.08,575.2,16.88,27.07,21.2,2.93
1962/02/01,70.22,2.03,3.31,30.1,4.04,582.84,16.88,27.47,21.45,2.9
1962/03/01,70.29,2.04,3.37,30.1,3.93,583.42,16.93,27.97,21.44,2.9
1962/04/01,68.05,2.05,3.4,30.2,3.84,562.96,16.93,28.15,20.66,3.01
1962/05/01,62.99,2.05,3.44,30.2,3.87,521.1,16.99,28.43,19.09,3.26
1962/06/01,55.63,2.06,3.47,30.2,3.91,460.21,17.04,28.71,16.83,3.7
1962/07/01,56.97,2.07,3.49,30.3,4.01,469.74,17.04,28.78,17.14,3.63
1962/08/01,58.52,2.07,3.51,30.3,3.98,482.52,17.1,28.94,17.57,3.54
1962/09/01,58,2.08,3.53,30.4,3.98,476.66,17.09,29.01,17.32,3.59
1962/10/01,56.17,2.1,3.58,30.4,3.93,461.62,17.23,29.39,16.74,3.73
1962/11/01,60.04,2.11,3.62,30.4,3.92,493.43,17.37,29.78,17.85,3.52
1962/12/01,62.64,2.13,3.67,30.4,3.86,514.79,17.5,30.16,18.59,3.4
1963/01/01,65.06,2.14,3.68,30.4,3.83,534.68,17.56,30.27,19.26,3.28
1963/02/01,65.92,2.14,3.7,30.4,3.92,541.75,17.61,30.38,19.47,3.25
1963/03/01,65.67,2.15,3.71,30.5,3.93,537.92,17.61,30.39,19.29,3.27
1963/04/01,68.76,2.17,3.75,30.5,3.97,563.24,17.75,30.74,20.15,3.15
1963/05/01,70.14,2.18,3.8,30.5,3.93,574.54,17.88,31.1,20.51,3.11
1963/06/01,70.11,2.2,3.84,30.6,3.99,572.42,17.96,31.35,20.38,3.14
1963/07/01,69.07,2.2,3.88,30.7,4.02,562.09,17.93,31.58,19.97,3.19
1963/08/01,70.98,2.21,3.92,30.7,4,577.63,17.96,31.9,20.47,3.11
1963/09/01,72.85,2.21,3.96,30.7,4.08,592.85,17.98,32.23,20.96,3.03
1963/10/01,73.03,2.23,3.98,30.8,4.11,592.39,18.12,32.28,20.89,3.06
1963/11/01,72.62,2.26,4,30.8,4.12,589.06,18.31,32.45,20.72,3.11
1963/12/01,74.17,2.28,4.02,30.9,4.13,599.69,18.43,32.5,21.04,3.07
1964/01/01,76.45,2.3,4.07,30.9,4.17,618.12,18.57,32.93,21.63,3
1964/02/01,77.39,2.31,4.13,30.9,4.15,625.72,18.7,33.37,21.83,2.99
1964/03/01,78.8,2.33,4.18,30.9,4.22,637.12,18.84,33.8,22.17,2.96
1964/04/01,79.94,2.35,4.23,30.9,4.23,646.34,18.97,34.2,22.42,2.94
1964/05/01,80.72,2.36,4.28,30.9,4.2,652.64,19.11,34.61,22.57,2.93
1964/06/01,80.24,2.38,4.33,31,4.17,646.67,19.18,34.9,22.3,2.97
1964/07/01,83.22,2.4,4.38,31.1,4.19,668.53,19.28,35.16,22.98,2.88
1964/08/01,82,2.42,4.42,31,4.19,660.86,19.5,35.65,22.65,2.95
1964/09/01,83.41,2.44,4.47,31.1,4.2,670.06,19.6,35.91,22.89,2.93
1964/10/01,84.85,2.46,4.5,31.1,4.19,681.63,19.76,36.12,23.21,2.9
1964/11/01,85.44,2.48,4.52,31.2,4.15,684.16,19.86,36.22,23.23,2.9
1964/12/01,83.96,2.5,4.55,31.2,4.18,672.31,20.02,36.43,22.75,2.98
1965/01/01,86.12,2.52,4.59,31.2,4.19,689.61,20.15,36.78,23.27,2.92
1965/02/01,86.75,2.53,4.64,31.2,4.21,694.65,20.29,37.13,23.37,2.92
1965/03/01,86.83,2.55,4.68,31.3,4.21,693.07,20.35,37.36,23.25,2.94
1965/04/01,87.97,2.57,4.73,31.4,4.2,699.94,20.45,37.66,23.42,2.92
1965/05/01,89.28,2.59,4.79,31.4,4.21,710.36,20.61,38.09,23.71,2.9
1965/06/01,85.04,2.61,4.84,31.6,4.21,672.34,20.64,38.27,22.39,3.07
1965/07/01,84.91,2.63,4.89,31.6,4.2,671.31,20.77,38.63,22.3,3.09
1965/08/01,86.49,2.64,4.93,31.6,4.25,683.81,20.9,39,22.67,3.06
1965/09/01,89.38,2.66,4.98,31.6,4.29,706.65,21.03,39.37,23.37,2.98
1965/10/01,91.39,2.68,5.05,31.7,4.35,720.27,21.12,39.8,23.78,2.93
1965/11/01,92.15,2.7,5.12,31.7,4.45,726.26,21.28,40.35,23.93,2.93
1965/12/01,91.73,2.72,5.19,31.8,4.62,720.67,21.37,40.78,23.69,2.97
1966/01/01,93.32,2.74,5.24,31.8,4.61,733.17,21.53,41.17,24.06,2.94
1966/02/01,92.69,2.76,5.29,32,4.83,723.66,21.55,41.3,23.7,2.98
1966/03/01,88.88,2.78,5.34,32.1,4.87,691.76,21.64,41.56,22.61,3.13
1966/04/01,91.6,2.8,5.38,32.3,4.75,708.51,21.63,41.61,23.11,3.05
1966/05/01,86.78,2.81,5.42,32.3,4.78,671.23,21.76,41.92,21.85,3.24
1966/06/01,86.06,2.83,5.46,32.4,4.81,663.61,21.82,42.1,21.56,3.29
1966/07/01,85.84,2.85,5.48,32.5,5.02,659.87,21.91,42.1,21.38,3.32
