Date,forecast,actuall
01-Jan-2017,0.138709481815752,0.185822995934536
01-Feb-2017,0.148033755186982,0.223422354312599
01-Mar-2017,0.106041914119255,0.17056307030342
01-Apr-2017,0.110433966371356,0.136721046089211
01-May-2017,0.130882271536638,0.15966691680182
01-Jun-2017,0.126673783060476,0.168003109569123
01-Jul-2017,0.109590839090342,0.142026152915445
01-Aug-2017,0.0925831590696507,0.131403302701582
01-Sep-2017,0.0780658438066662,0.155328151866116
01-Oct-2017,0.10654596648695,0.193175985291785
01-Nov-2017,0.113595454080509,0.197977819758983
01-Dec-2017,0.0815978987265943,0.185927366767113
