id,yr,cm,dcm,annualprec,summerpdsi,wintertemp,growthGroup,pdsiGroup
504.0,2006.0,46.25,0.6499999999999986,1.4076000000000002,-2.4491666666666667,5.455555555555557,3,3
504.0,2008.0,47.35,0.4499999999999993,1.5153,-2.01875,3.43333333333333,3,3
504.0,2010.0,48.3,1.0,1.7804,-0.9775,3.5833333333333304,3,1
733.0,1998.0,12.5,0.2999999999999998,1.7853,-0.925,5.516666666666667,3,1
733.0,2002.0,13.7,0.6000000000000005,1.8294,-0.925,5.25,3,1
733.0,2004.0,14.9,0.5999999999999996,1.65325,-1.41875,5.383333333333335,3,2
733.0,2006.0,15.85,0.34999999999999964,1.4076000000000002,-2.4491666666666667,5.455555555555557,3,3
733.0,2008.0,16.25,0.05000000000000071,1.5153,-2.01875,3.43333333333333,3,3
733.0,2010.0,16.3,0.0,1.7804,-0.9775,3.5833333333333304,3,1
506.0,1998.0,31.65,0.07500000000000018,1.7853,-0.925,5.516666666666667,3,1
506.0,2002.0,31.9,0.09999999999999963,1.8294,-0.925,5.25,3,1
506.0,2004.0,32.15,0.14999999999999858,1.65325,-1.41875,5.383333333333335,3,2
506.0,2006.0,32.4,0.10000000000000142,1.4076000000000002,-2.4491666666666667,5.455555555555557,3,3
506.0,2008.0,32.45,-0.05000000000000071,1.5153,-2.01875,3.43333333333333,3,3
506.0,2010.0,32.45,0.10000000000000142,1.7804,-0.9775,3.5833333333333304,3,1
14.0,1998.0,18.05,0.8250000000000002,1.7853,-0.925,5.516666666666667,3,1
14.0,2002.0,20.55,0.8499999999999996,1.8294,-0.925,5.25,3,1
14.0,2004.0,22.15,0.75,1.65325,-1.41875,5.383333333333335,3,2
14.0,2006.0,23.45,0.5500000000000007,1.4076000000000002,-2.4491666666666667,5.455555555555557,3,3
14.0,2008.0,24.15,0.15000000000000036,1.5153,-2.01875,3.43333333333333,3,3
14.0,2010.0,24.3,0.0,1.7804,-0.9775,3.5833333333333304,3,1
505.0,1998.0,2.45,0.025000000000000026,1.7853,-0.925,5.516666666666667,1,1
505.0,2002.0,2.45,-0.05000000000000005,1.8294,-0.925,5.25,1,1
505.0,2004.0,2.4,0.0,1.65325,-1.41875,5.383333333333335,1,2
505.0,2006.0,2.4,0.0,1.4076000000000002,-2.4491666666666667,5.455555555555557,1,3
505.0,2008.0,2.4,0.0,1.5153,-2.01875,3.43333333333333,1,3
505.0,2010.0,2.4,0.0,1.7804,-0.9775,3.5833333333333304,1,1
644.0,1998.0,23.7,0.09999999999999963,1.7853,-0.925,5.516666666666667,3,1
644.0,2002.0,24.25,0.3500000000000014,1.8294,-0.925,5.25,3,1
644.0,2004.0,24.950000000000006,0.34999999999999964,1.65325,-1.41875,5.383333333333335,3,2
644.0,2006.0,25.4,0.09999999999999963,1.4076000000000002,-2.4491666666666667,5.455555555555557,3,3
644.0,2008.0,25.75,0.25,1.5153,-2.01875,3.43333333333333,3,3
644.0,2010.0,26.15,0.3000000000000007,1.7804,-0.9775,3.5833333333333304,3,1
905.0,1998.0,2.4,0.05000000000000005,1.7853,-0.925,5.516666666666667,1,1
905.0,2002.0,2.45,-0.05000000000000005,1.8294,-0.925,5.25,1,1
905.0,2004.0,2.4,0.0,1.65325,-1.41875,5.383333333333335,1,2
905.0,2006.0,2.45,0.05000000000000005,1.4076000000000002,-2.4491666666666667,5.455555555555557,1,3
960.0,1998.0,5.9,0.0,1.7853,-0.925,5.516666666666667,2,1
960.0,2002.0,6.0,0.09999999999999963,1.8294,-0.925,5.25,2,1
960.0,2004.0,6.15,0.05000000000000026,1.65325,-1.41875,5.383333333333335,2,2
960.0,2006.0,6.2,0.0,1.4076000000000002,-2.4491666666666667,5.455555555555557,2,3
960.0,2008.0,6.2,0.0,1.5153,-2.01875,3.43333333333333,2,3
960.0,2010.0,6.25,0.09999999999999963,1.7804,-0.9775,3.5833333333333304,2,1
