id,yr,cm,dcm,annualprec,summerpdsi,wintertemp
290.0,1998.0,4.2,0.10000000000000009,1.7852999999999999,-0.925,5.516666666666666
290.0,2002.0,4.6,0.19999999999999973,1.8294000000000001,-0.925,5.25
290.0,2004.0,4.949999999999999,0.1499999999999999,1.6532499999999999,-1.41875,5.383333333333335
290.0,2006.0,5.199999999999999,0.10000000000000009,1.4076000000000002,-2.4491666666666667,5.455555555555556
290.0,2008.0,5.25,-0.04999999999999982,1.5152999999999999,-2.01875,3.43333333333333
290.0,2010.0,5.15,-0.10000000000000053,1.7804,-0.9774999999999999,3.5833333333333304
641.0,1998.0,48.55,0.125,1.7852999999999999,-0.925,5.516666666666666
641.0,2002.0,49.15,0.3500000000000014,1.8294000000000001,-0.925,5.25
641.0,2004.0,49.75,0.25,1.6532499999999999,-1.41875,5.383333333333335
641.0,2006.0,50.15,0.14999999999999858,1.4076000000000002,-2.4491666666666667,5.455555555555556
641.0,2008.0,50.4,0.10000000000000142,1.5152999999999999,-2.01875,3.43333333333333
641.0,2010.0,50.6,0.20000000000000284,1.7804,-0.9774999999999999,3.5833333333333304
12.0,1998.0,1.2000000000000002,0.2,1.7852999999999999,-0.925,5.516666666666666
12.0,2002.0,1.4500000000000002,-0.15000000000000002,1.8294000000000001,-0.925,5.25
12.0,2004.0,1.35,0.04999999999999993,1.6532499999999999,-1.41875,5.383333333333335
12.0,2006.0,1.4,0.0,1.4076000000000002,-2.4491666666666667,5.455555555555556
12.0,2008.0,1.35,-0.04999999999999993,1.5152999999999999,-2.01875,3.43333333333333
12.0,2010.0,1.3,0.0,1.7804,-0.9774999999999999,3.5833333333333304
1120.0,2007.0,1.1,0.0,1.38475,-2.6525,5.35
1120.0,2008.0,1.25,0.1499999999999999,1.5152999999999999,-2.01875,3.43333333333333
1120.0,2010.0,1.35,-0.09999999999999987,1.7804,-0.9774999999999999,3.5833333333333304
503.0,1998.0,8.95,0.07499999999999973,1.7852999999999999,-0.925,5.516666666666666
503.0,2002.0,9.1,0.0,1.8294000000000001,-0.925,5.25
503.0,2004.0,9.1,0.0,1.6532499999999999,-1.41875,5.383333333333335
503.0,2006.0,8.95,-0.14999999999999947,1.4076000000000002,-2.4491666666666667,5.455555555555556
503.0,2008.0,9.05,0.25,1.5152999999999999,-2.01875,3.43333333333333
503.0,2010.0,9.3,0.0,1.7804,-0.9774999999999999,3.5833333333333304
735.0,1998.0,40.099999999999994,0.15000000000000036,1.7852999999999999,-0.925,5.516666666666666
735.0,2002.0,40.4,0.0,1.8294000000000001,-0.925,5.25
735.0,2004.0,40.45,0.05000000000000071,1.6532499999999999,-1.41875,5.383333333333335
735.0,2006.0,40.55,0.05000000000000071,1.4076000000000002,-2.4491666666666667,5.455555555555556
735.0,2008.0,40.75,0.14999999999999858,1.5152999999999999,-2.01875,3.43333333333333
735.0,2010.0,40.9,0.0,1.7804,-0.9774999999999999,3.5833333333333304
639.0,1998.0,13.85,0.17499999999999982,1.7852999999999999,-0.925,5.516666666666666
639.0,2002.0,14.25,0.05000000000000071,1.8294000000000001,-0.925,5.25
639.0,2004.0,14.7,0.39999999999999947,1.6532499999999999,-1.41875,5.383333333333335
639.0,2006.0,15.35,0.25,1.4076000000000002,-2.4491666666666667,5.455555555555556
639.0,2008.0,15.8,0.20000000000000018,1.5152999999999999,-2.01875,3.43333333333333
639.0,2010.0,16.2,0.3999999999999986,1.7804,-0.9774999999999999,3.5833333333333304
732.0,1998.0,41.25,0.2749999999999986,1.7852999999999999,-0.925,5.516666666666666
732.0,2002.0,42.15,0.3500000000000014,1.8294000000000001,-0.925,5.25
732.0,2004.0,42.75,0.25,1.6532499999999999,-1.41875,5.383333333333335
732.0,2006.0,43.3,0.3000000000000007,1.4076000000000002,-2.4491666666666667,5.455555555555556
732.0,2008.0,44.150000000000006,0.5500000000000007,1.5152999999999999,-2.01875,3.43333333333333
732.0,2010.0,44.95,0.5,1.7804,-0.9774999999999999,3.5833333333333304
11.0,1998.0,2.35,0.07499999999999996,1.7852999999999999,-0.925,5.516666666666666
11.0,2002.0,2.35,-0.1499999999999999,1.8294000000000001,-0.925,5.25
11.0,2004.0,2.25,0.04999999999999982,1.6532499999999999,-1.41875,5.383333333333335
11.0,2006.0,2.3,0.0,1.4076000000000002,-2.4491666666666667,5.455555555555556
11.0,2008.0,2.2,-0.09999999999999987,1.5152999999999999,-2.01875,3.43333333333333
912.0,1998.0,17.6,-0.04999999999999982,1.7852999999999999,-0.925,5.516666666666666
912.0,2002.0,18.1,0.5999999999999996,1.8294000000000001,-0.925,5.25
912.0,2004.0,18.95,0.25,1.6532499999999999,-1.41875,5.383333333333335
912.0,2006.0,19.4,0.20000000000000107,1.4076000000000002,-2.4491666666666667,5.455555555555556
912.0,2008.0,20.0,0.3999999999999986,1.5152999999999999,-2.01875,3.43333333333333
912.0,2010.0,20.45,0.10000000000000142,1.7804,-0.9774999999999999,3.5833333333333304
907.0,1998.0,2.55,0.125,1.7852999999999999,-0.925,5.516666666666666
907.0,2002.0,3.0,0.20000000000000018,1.8294000000000001,-0.925,5.25
907.0,2004.0,3.2,0.0,1.6532499999999999,-1.41875,5.383333333333335
907.0,2006.0,3.6,0.3999999999999999,1.4076000000000002,-2.4491666666666667,5.455555555555556
907.0,2008.0,4.25,0.25,1.5152999999999999,-2.01875,3.43333333333333
907.0,2010.0,4.5,0.0,1.7804,-0.9774999999999999,3.5833333333333304
504.0,1998.0,42.7,0.45000000000000107,1.7852999999999999,-0.925,5.516666666666666
