# loss accuracy
7690.95849609375 0.149
611.4532470703125 0.152
557.903564453125 0.152
516.826904296875 0.152
485.6667785644531 0.152
461.41082763671875 0.152
439.3342590332031 0.152
421.1193542480469 0.152
405.23193359375 0.152
391.89276123046875 0.152
379.1947326660156 0.152
368.9992370605469 0.152
359.284912109375 0.152
350.83856201171875 0.152
343.7390441894531 0.152
337.5402526855469 0.152
330.4585266113281 0.152
324.7394104003906 0.152
319.3180236816406 0.152
314.71502685546875 0.152
310.92364501953125 0.152
307.08355712890625 0.152
303.5811462402344 0.152
301.6222229003906 0.152
298.2156982421875 0.152
294.8653259277344 0.152
291.8496398925781 0.152
289.4051208496094 0.152
287.724609375 0.152
286.1133728027344 0.152
285.1163330078125 0.152
283.53875732421875 0.152
282.499267578125 0.152
280.98577880859375 0.152
277.49627685546875 0.152
276.1259765625 0.152
275.00347900390625 0.152
274.5446472167969 0.152
274.183837890625 0.152
273.1697998046875 0.152
272.224609375 0.152
272.6285400390625 0.152
270.7218933105469 0.152
267.8029479980469 0.152
266.789794921875 0.152
266.4292297363281 0.152
266.5428466796875 0.152
266.333251953125 0.152
266.2838439941406 0.152
265.93865966796875 0.152
266.0517883300781 0.152
264.6448059082031 0.152
261.528076171875 0.152
260.8432922363281 0.152
260.8888244628906 0.152
261.27410888671875 0.152
261.5517272949219 0.152
261.9609680175781 0.152
261.3392639160156 0.152
261.3446960449219 0.152
260.0020751953125 0.152
257.2938537597656 0.152
256.89666748046875 0.152
256.9166259765625 0.152
257.4254150390625 0.152
258.12762451171875 0.152
258.19073486328125 0.152
257.493896484375 0.152
257.506591796875 0.152
256.8368225097656 0.152
254.07049560546875 0.152
253.76976013183594 0.152
254.01394653320312 0.152
254.3824005126953 0.152
255.3270721435547 0.152
254.86044311523438 0.152
254.6908721923828 0.152
254.71835327148438 0.152
254.27978515625 0.152
251.5801239013672 0.152
251.54066467285156 0.152
251.70327758789062 0.152
252.00294494628906 0.152
252.64341735839844 0.152
252.3267364501953 0.152
252.47915649414062 0.152
252.6304168701172 0.152
252.2714080810547 0.152
249.72096252441406 0.152
249.8038787841797 0.152
249.94793701171875 0.152
249.85107421875 0.152
250.4825897216797 0.152
250.42733764648438 0.152
250.79273986816406 0.152
250.98101806640625 0.152
250.56686401367188 0.152
248.2799530029297 0.152
248.35330200195312 0.152
248.28878784179688 0.152
